user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn
445,11/12/2023,Basic,14.99,1.5,2,0,13,1,No
446,1/9/2024,Premium,49.99,4.4,4,2,11,3,Yes
447,2/10/2023,Basic,14.99,0.5,3,1,1,661,Yes
448,1/2/2024,Premium,49.99,4.4,4,2,12,2,No
449,8/4/2023,Standard,29.99,2.7,6,1,6,316,Yes
450,11/29/2024,Premium,49.99,2.6,7,1,1,1,Yes
451,9/13/2023,Standard,29.99,2,11,1,9,177,Yes
452,11/13/2024,Standard,29.99,3.2,9,0,1,0,Yes
453,4/16/2023,Basic,14.99,2.3,0,2,20,4,No
454,12/29/2023,Basic,14.99,2.2,10,2,12,0,Yes
455,7/27/2024,Basic,14.99,2.3,3,0,5,4,No
456,2/21/2024,Premium,49.99,5.5,0,0,10,1,No
457,9/27/2024,Basic,14.99,1.1,2,0,3,1,No
458,6/8/2023,Basic,14.99,1.6,1,0,19,0,No
459,8/31/2023,Basic,14.99,1.8,2,0,16,0,No
460,6/16/2023,Premium,49.99,3.1,9,0,9,271,Yes
461,7/1/2023,Standard,29.99,2.3,5,0,18,4,No
462,2/27/2024,Standard,29.99,3.5,3,0,10,2,No
463,1/26/2023,Basic,14.99,1.1,4,0,23,6,No
464,7/3/2023,Standard,29.99,3.2,5,1,18,0,No
465,12/7/2023,Premium,49.99,3.2,4,0,13,0,No
466,2/26/2024,Standard,29.99,2,5,0,10,1,No
467,11/16/2024,Premium,49.99,4.8,5,0,1,5,No
468,9/12/2023,Premium,49.99,4,4,0,15,1,No
469,10/1/2023,Standard,29.99,3.6,3,1,15,4,No
470,6/13/2023,Standard,29.99,2.4,9,0,7,359,Yes
471,12/19/2024,Premium,49.99,0.1,7,0,1,3,Yes
472,4/21/2023,Basic,14.99,2.7,2,0,20,1,No
473,1/27/2024,Premium,49.99,3,5,0,11,1,No
474,2/9/2023,Basic,14.99,2.3,2,2,23,0,No
475,4/26/2024,Standard,29.99,3.3,2,0,8,7,No
476,8/16/2023,Standard,29.99,3.7,0,1,16,0,No
477,7/24/2023,Standard,29.99,3.2,3,0,17,7,No
478,4/16/2024,Standard,29.99,3.4,9,1,8,1,Yes
479,12/25/2023,Premium,49.99,3.6,5,1,12,0,No
480,11/9/2023,Standard,29.99,3.4,2,1,13,0,No
481,8/22/2023,Basic,14.99,1.4,2,0,16,3,No
482,8/17/2023,Standard,29.99,2,11,1,1,459,Yes
483,1/25/2023,Standard,29.99,2.8,2,0,23,2,No
484,11/6/2024,Standard,29.99,4.1,8,2,1,6,Yes
485,7/17/2023,Premium,49.99,4.5,1,0,17,3,No
486,2/13/2024,Basic,14.99,1.9,4,0,10,1,No
487,12/3/2023,Standard,29.99,2.5,2,0,13,3,No
488,10/13/2023,Basic,14.99,2.6,1,0,14,5,No
489,3/13/2023,Basic,14.99,2.2,3,0,21,1,No
490,10/13/2023,Basic,14.99,3.8,3,0,1,391,Yes
491,12/26/2023,Premium,49.99,2.6,6,0,12,2,Yes
492,10/18/2024,Standard,29.99,2.8,2,0,2,6,No
493,6/5/2024,Basic,14.99,2.8,8,2,6,14,Yes
494,2/14/2024,Basic,14.99,2,5,1,10,1,No
495,11/26/2024,Premium,49.99,1.2,8,0,1,0,Yes
496,7/3/2024,Basic,14.99,2.9,2,0,6,0,No
497,12/6/2023,Basic,14.99,1.4,0,0,13,1,No
498,1/29/2023,Premium,49.99,3.7,5,0,23,0,No
499,4/29/2023,Premium,49.99,3.6,9,0,3,521,Yes
500,9/25/2023,Premium,49.99,3,3,1,15,0,No
501,7/2/2023,Standard,29.99,2.7,1,0,18,6,No
502,8/17/2024,Standard,29.99,1.7,5,2,4,15,Yes
503,9/29/2023,Standard,29.99,2.6,3,1,15,4,No
504,2/9/2023,Premium,49.99,4.7,1,0,23,0,No
505,4/22/2023,Standard,29.99,3,4,0,2,536,Yes
506,9/2/2024,Premium,49.99,3.6,4,1,4,1,Yes
507,3/20/2024,Standard,29.99,2.8,3,0,9,0,No
508,12/20/2023,Basic,14.99,1.2,2,1,12,0,No
509,11/18/2023,Basic,14.99,1.6,10,3,13,4,Yes
510,3/22/2024,Basic,14.99,2.7,0,0,9,0,No
511,9/12/2024,Basic,14.99,1.3,0,0,3,0,No
512,6/7/2024,Basic,14.99,2.2,9,1,4,68,Yes
513,4/29/2023,Premium,49.99,4.5,2,1,20,5,No
514,1/30/2024,Standard,29.99,2.4,0,0,11,0,No
515,8/13/2024,Premium,49.99,4,1,0,4,1,No
516,7/14/2023,Standard,29.99,3.2,1,0,17,0,No
517,9/18/2023,Basic,14.99,1.2,7,2,15,3,Yes
518,2/15/2023,Standard,29.99,3.3,2,1,22,0,No
519,12/26/2024,Standard,29.99,0.3,2,0,1,3,No
520,3/22/2024,Basic,14.99,2,4,0,9,5,No
521,1/2/2023,Standard,29.99,2,8,1,3,625,Yes
522,6/16/2024,Basic,14.99,3.1,4,0,6,2,No
523,7/5/2024,Basic,14.99,3.3,5,0,5,1,No
524,12/4/2024,Standard,29.99,2.5,3,0,1,2,No
525,11/17/2024,Basic,14.99,1.6,5,0,1,4,Yes
526,7/21/2023,Standard,29.99,3.1,5,1,17,2,Yes
527,1/8/2024,Standard,29.99,2.1,5,0,11,4,No
528,3/17/2024,Premium,49.99,4.8,5,1,9,4,No
529,3/13/2023,Standard,29.99,2.3,4,1,21,3,No
530,11/11/2024,Standard,29.99,4.9,5,0,1,3,No
531,12/5/2023,Standard,29.99,2.2,1,0,13,1,No
532,9/30/2024,Standard,29.99,2.8,4,0,3,1,No
533,11/18/2023,Standard,29.99,2.9,11,1,1,370,Yes
534,11/10/2024,Basic,14.99,1.5,9,0,1,0,Yes
535,5/8/2023,Standard,29.99,3.7,1,2,20,0,No
536,11/4/2023,Basic,14.99,2.4,5,1,14,2,No
537,6/3/2024,Standard,29.99,3.2,0,0,7,2,No
538,11/13/2023,Basic,14.99,1.8,6,2,5,242,Yes
539,11/13/2024,Standard,29.99,5.5,0,1,1,0,No
540,2/23/2024,Standard,29.99,2.4,2,0,10,8,No
541,12/1/2023,Basic,14.99,2.4,2,0,13,8,No
542,2/17/2024,Basic,14.99,1.3,1,1,10,0,No
543,12/14/2024,Basic,14.99,0.3,0,1,1,7,No
544,10/30/2023,Basic,14.99,2.2,1,1,14,3,No
545,7/21/2024,Basic,14.99,1.4,0,0,5,1,No
546,5/11/2023,Standard,29.99,2.5,2,1,20,1,No
547,7/16/2023,Standard,29.99,2.4,0,1,17,3,No
548,3/6/2024,Standard,29.99,3.6,0,0,10,3,No
549,11/11/2024,Standard,29.99,4.2,3,0,1,5,Yes
550,1/24/2024,Standard,29.99,3.5,5,0,11,3,No
551,11/24/2024,Standard,29.99,3.5,4,0,1,0,No
552,6/28/2023,Basic,14.99,1.1,2,2,18,3,No
553,9/22/2024,Basic,14.99,1.8,5,0,3,0,No
554,8/5/2024,Premium,49.99,5.1,7,0,4,5,Yes
555,11/5/2023,Premium,49.99,4.6,4,0,3,315,Yes
556,2/20/2024,Standard,29.99,2.3,2,0,10,2,No
557,7/15/2024,Basic,14.99,1.2,4,0,5,1,No
558,1/1/2023,Basic,14.99,2.2,4,0,24,0,No
559,11/8/2023,Standard,29.99,2.7,5,1,13,1,No
560,10/21/2023,Standard,29.99,3.3,4,0,6,234,Yes
561,8/4/2023,Basic,14.99,2.4,2,0,17,8,No
562,3/16/2024,Basic,14.99,2.3,4,0,9,1,No
563,8/16/2024,Basic,14.99,2.1,5,0,4,0,No
564,9/13/2024,Standard,29.99,1.4,3,0,1,69,Yes
565,11/1/2024,Basic,14.99,2.1,1,0,2,5,No
566,11/26/2023,Standard,29.99,2.9,11,0,13,3,Yes
567,4/21/2024,Basic,14.99,2.7,2,0,8,0,No
568,3/28/2024,Basic,14.99,1.7,1,0,9,1,No
569,3/28/2024,Basic,14.99,2.9,1,0,9,0,No
570,11/22/2024,Standard,29.99,4.7,5,0,1,0,No
571,8/7/2023,Basic,14.99,1.7,0,0,17,1,No
572,6/7/2024,Standard,29.99,2.4,1,0,6,0,No
573,4/29/2024,Basic,14.99,2.3,4,0,8,3,No
574,6/23/2023,Basic,14.99,0.5,10,0,1,532,Yes
575,11/5/2024,Basic,14.99,2.8,5,0,1,3,No
576,3/28/2023,Premium,49.99,3.1,1,0,21,1,No
577,10/18/2023,Standard,29.99,3.6,4,1,2,374,Yes
578,6/11/2024,Basic,14.99,2,0,0,6,6,No
579,11/10/2024,Premium,49.99,4.5,5,1,1,3,No
580,10/10/2024,Basic,14.99,2.6,3,0,2,0,No
581,9/26/2024,Basic,14.99,2,4,0,3,3,No
582,12/10/2023,Basic,14.99,1.8,8,0,5,234,Yes
583,4/6/2023,Standard,29.99,2.5,4,3,21,0,No
584,8/29/2023,Basic,14.99,2.1,5,0,16,1,No
585,11/19/2024,Basic,14.99,2.4,0,0,1,3,No
586,11/14/2023,Basic,14.99,2.2,1,2,13,3,No
587,8/19/2023,Premium,49.99,5.7,0,0,16,8,No
588,7/23/2023,Standard,29.99,2.8,3,0,17,0,No
589,5/31/2023,Standard,29.99,3.8,4,0,19,0,No
590,1/26/2023,Standard,29.99,2.7,4,0,6,531,Yes
591,2/17/2023,Basic,14.99,2.8,1,0,22,7,No
592,9/8/2023,Basic,14.99,1.4,1,0,16,0,No
593,5/1/2024,Basic,14.99,2.7,0,0,8,0,No
594,9/17/2024,Premium,49.99,3.7,6,0,3,6,Yes
595,3/16/2023,Premium,49.99,4.2,0,1,21,2,No
596,4/11/2024,Standard,29.99,3.7,2,0,8,3,No
597,2/29/2024,Premium,49.99,4.9,4,0,10,0,No
598,10/6/2024,Basic,14.99,3,1,0,2,3,No
599,8/12/2024,Premium,49.99,4.4,3,0,4,0,No
600,7/19/2023,Standard,29.99,2.6,0,0,17,0,No
601,12/14/2024,Premium,49.99,0.2,10,0,1,7,Yes
602,1/29/2024,Basic,14.99,1.3,5,0,11,0,No
603,5/21/2024,Standard,29.99,3.8,0,0,7,3,No
604,2/14/2024,Basic,14.99,1,8,1,4,195,Yes
605,9/7/2023,Basic,14.99,1.9,2,0,16,2,No
606,6/1/2023,Standard,29.99,3.7,0,0,19,1,No
607,11/2/2024,Standard,29.99,4.6,4,0,1,1,No
608,12/5/2024,Premium,49.99,3,2,0,1,0,No
609,1/6/2023,Standard,29.99,1.6,8,0,1,685,Yes
610,4/20/2023,Basic,14.99,1.8,1,0,20,0,No
611,3/11/2024,Basic,14.99,2.9,2,0,9,2,No
612,8/13/2023,Basic,14.99,1.3,3,0,16,3,No
613,6/30/2023,Standard,29.99,3.7,1,1,18,2,No
614,12/13/2024,Standard,29.99,1.9,4,0,1,6,No
615,6/14/2024,Basic,14.99,1.4,1,0,6,0,No
616,4/20/2024,Basic,14.99,2.2,2,0,8,2,No
617,2/21/2023,Standard,29.99,3.8,1,1,22,0,No
618,7/24/2024,Basic,14.99,1.6,4,0,5,0,No
619,9/13/2023,Basic,14.99,1,11,1,15,0,Yes
620,5/5/2023,Basic,14.99,1.8,5,0,20,0,No
621,4/12/2024,Premium,49.99,6.2,5,0,8,2,No
622,5/17/2023,Basic,14.99,1.9,2,0,19,2,No
623,4/20/2024,Standard,29.99,2.2,2,1,8,6,No
624,11/14/2024,Basic,14.99,1.5,6,1,1,0,Yes
625,6/27/2024,Premium,49.99,4.4,3,0,6,0,No
626,7/26/2024,Basic,14.99,3.2,2,1,5,0,No
627,9/1/2024,Standard,29.99,2.5,3,1,4,3,Yes
628,11/21/2023,Standard,29.99,3.1,5,0,13,1,No
629,3/29/2024,Standard,29.99,2.6,6,1,9,5,Yes
630,9/19/2024,Standard,29.99,3.2,5,0,3,2,No
631,5/31/2024,Premium,49.99,2.2,5,1,1,180,Yes
632,3/12/2024,Basic,14.99,1.1,3,1,9,4,No
633,7/15/2024,Premium,49.99,5.8,0,0,5,3,No
634,4/1/2024,Standard,29.99,2.2,2,0,9,3,No
635,6/12/2023,Basic,14.99,2.4,3,1,18,2,No
636,5/1/2024,Premium,49.99,3.4,4,0,8,2,No
637,4/5/2024,Premium,49.99,3.3,3,0,9,5,No
638,9/23/2023,Basic,14.99,1.9,5,0,15,1,No
639,9/11/2023,Basic,14.99,1,10,3,15,2,Yes
640,10/14/2024,Basic,14.99,0.9,8,1,1,41,Yes
641,10/11/2023,Basic,14.99,1.4,0,0,14,0,No
642,6/17/2024,Standard,29.99,3.3,4,0,6,5,No
643,5/11/2024,Premium,49.99,4.9,11,0,7,4,Yes
644,10/3/2024,Basic,14.99,3.6,2,0,2,0,No
645,9/2/2023,Basic,14.99,2.1,2,0,16,0,No
646,10/9/2023,Premium,49.99,5.5,2,0,14,0,No
647,3/26/2024,Basic,14.99,1.4,0,2,9,4,No
648,3/21/2023,Standard,29.99,2.7,1,1,21,0,No
649,10/20/2023,Standard,29.99,3.7,3,0,14,0,No
650,8/29/2023,Basic,14.99,2.6,5,0,16,1,No
651,10/6/2023,Basic,14.99,1.1,0,0,15,5,No
652,12/10/2023,Basic,14.99,2.7,5,0,12,4,No
653,11/24/2023,Standard,29.99,2.3,6,2,13,6,Yes
654,7/7/2024,Standard,29.99,3.5,0,0,5,1,No
655,3/24/2023,Basic,14.99,1.3,2,0,21,1,No
656,5/22/2023,Basic,14.99,1.9,8,0,4,461,Yes
657,6/4/2023,Standard,29.99,2.2,2,1,19,3,No
658,8/25/2023,Standard,29.99,3.6,9,1,16,0,Yes
659,1/28/2024,Premium,49.99,3.3,2,1,11,6,No
660,12/11/2024,Standard,29.99,0.2,5,0,1,2,Yes
661,6/6/2023,Standard,29.99,2.3,2,0,19,1,No
662,12/24/2024,Standard,29.99,0.6,2,0,1,3,No
663,8/8/2023,Premium,49.99,5.4,7,0,4,379,Yes
664,3/7/2023,Basic,14.99,1,0,1,22,1,No
665,2/29/2024,Standard,29.99,3.4,4,1,8,51,Yes
666,2/22/2024,Standard,29.99,3.5,10,1,10,0,Yes
667,12/5/2023,Standard,29.99,3.4,5,1,13,3,No
668,7/9/2024,Basic,14.99,2.8,5,2,4,35,Yes
669,4/22/2024,Basic,14.99,0.9,2,0,8,6,No
670,3/1/2024,Basic,14.99,2.3,8,1,10,5,Yes
671,3/5/2023,Basic,14.99,2.9,3,0,22,1,No
672,7/31/2023,Premium,49.99,3,7,2,10,199,Yes
673,3/6/2024,Premium,49.99,4.7,5,0,10,0,No
674,2/3/2024,Basic,14.99,1.8,2,0,11,0,No
675,8/21/2024,Basic,14.99,2.8,3,1,4,2,No
676,12/13/2024,Basic,14.99,1.6,5,0,1,1,No
677,1/21/2023,Premium,49.99,5.5,0,0,23,4,No
678,8/12/2024,Standard,29.99,3,1,1,4,3,No
679,1/25/2024,Basic,14.99,2.6,4,2,11,1,No
680,5/3/2024,Basic,14.99,1.8,1,0,8,0,No
681,1/7/2023,Basic,14.99,1.3,0,1,24,0,No
682,12/27/2023,Standard,29.99,2.4,5,1,12,0,No
683,11/2/2023,Basic,14.99,2.1,0,0,14,3,No
684,2/4/2024,Premium,49.99,4.6,4,0,11,0,No
685,3/5/2024,Standard,29.99,2.2,3,1,10,3,No
686,7/5/2024,Basic,14.99,1.5,2,0,5,5,No
687,7/13/2024,Basic,14.99,2.4,8,1,5,8,Yes
688,9/9/2024,Standard,29.99,5.1,0,1,3,3,No
689,8/14/2023,Basic,14.99,2.5,11,1,10,199,Yes
690,5/14/2024,Basic,14.99,3,2,0,7,3,No
691,8/13/2023,Standard,29.99,3,5,1,16,3,No
692,10/7/2023,Basic,14.99,1.5,4,1,15,0,No
693,3/22/2024,Basic,14.99,1,5,1,9,1,No
694,5/12/2024,Standard,29.99,1.8,8,0,1,196,Yes
695,1/30/2023,Basic,14.99,2.3,0,0,23,2,No
696,2/3/2024,Standard,29.99,2,0,1,11,5,No
697,12/11/2023,Basic,14.99,2,4,1,12,2,No
698,11/15/2024,Basic,14.99,1.5,8,1,1,8,Yes
699,11/26/2024,Basic,14.99,2.5,2,0,1,7,No
700,2/19/2024,Basic,14.99,1.8,1,1,10,6,No
701,6/19/2023,Premium,49.99,4.5,0,0,18,2,No
702,4/23/2024,Standard,29.99,3.1,5,0,8,0,No
703,5/11/2023,Standard,29.99,2.7,5,1,20,0,No
704,9/29/2024,Basic,14.99,0.9,11,0,3,3,Yes
705,6/30/2024,Basic,14.99,2.8,2,0,6,0,No
706,1/28/2023,Premium,49.99,4.7,0,1,23,0,No
707,2/8/2024,Standard,29.99,3.3,5,2,10,4,Yes
708,8/29/2024,Basic,14.99,2.8,4,0,4,0,No
709,7/31/2024,Standard,29.99,2.6,6,1,5,5,Yes
710,11/9/2024,Basic,14.99,3.3,1,0,1,4,No
711,1/28/2023,Standard,29.99,1.9,11,1,5,535,Yes
712,3/27/2023,Standard,29.99,3.3,5,1,21,6,No
713,10/20/2024,Basic,14.99,1.4,1,0,2,3,No
714,3/14/2024,Basic,14.99,2.5,3,0,9,3,No
715,5/19/2023,Standard,29.99,3.7,0,0,19,2,No
716,4/17/2024,Basic,14.99,2.6,0,0,8,0,No
717,7/6/2023,Standard,29.99,2.5,5,1,18,0,No
718,2/21/2023,Premium,49.99,4.9,2,1,22,2,No
719,9/24/2023,Standard,29.99,3.5,3,0,15,6,No
720,1/24/2024,Standard,29.99,2.9,5,1,11,0,No
721,12/2/2023,Basic,14.99,1.4,1,0,13,0,No
722,8/5/2023,Basic,14.99,1.9,4,0,17,1,No
723,4/10/2024,Standard,29.99,2.8,0,1,8,0,No
724,12/1/2023,Standard,29.99,2,0,1,13,1,No
725,12/12/2023,Standard,29.99,3.6,2,0,12,2,No
726,1/24/2024,Basic,14.99,2.4,0,1,11,1,No
727,10/12/2023,Basic,14.99,3.2,5,0,14,0,No
728,3/7/2024,Standard,29.99,2.9,0,1,9,0,No
729,9/16/2023,Basic,14.99,2,8,2,15,8,Yes
730,3/25/2023,Basic,14.99,1.8,10,1,15,192,Yes
731,4/26/2024,Basic,14.99,2.4,1,0,8,0,No
732,1/20/2023,Premium,49.99,3.2,5,0,23,1,No
733,7/6/2024,Premium,49.99,3.5,1,0,5,4,No
734,2/23/2023,Basic,14.99,2.8,2,3,22,3,No
735,12/25/2023,Standard,29.99,3.8,2,0,12,0,No
736,8/18/2023,Basic,14.99,1.1,1,0,16,6,No
737,10/27/2024,Basic,14.99,2,3,0,2,4,No
738,3/12/2023,Premium,49.99,3.3,0,0,22,2,No
739,10/29/2024,Basic,14.99,1,0,0,2,2,No
740,2/11/2023,Standard,29.99,3,3,1,3,592,Yes
741,2/1/2023,Standard,29.99,2.2,1,1,23,0,No
742,9/11/2023,Standard,29.99,3.9,4,3,10,149,Yes
743,7/24/2023,Basic,14.99,1.8,3,0,17,0,No
744,1/21/2023,Basic,14.99,1.4,5,3,23,7,No
745,9/28/2024,Premium,49.99,3.6,3,0,3,6,No
746,6/6/2023,Standard,29.99,2.7,3,2,1,533,Yes
747,9/2/2023,Premium,49.99,4.4,8,1,2,408,Yes
748,5/10/2023,Standard,29.99,3,1,0,20,3,No
749,4/29/2024,Basic,14.99,1.5,3,0,8,2,No
750,11/16/2024,Premium,49.99,5.9,4,0,1,2,No
751,4/28/2023,Standard,29.99,2.2,7,0,10,313,Yes
752,7/31/2024,Premium,49.99,3.2,0,0,5,1,No
753,8/12/2023,Premium,49.99,4.6,1,0,16,1,No
754,4/21/2024,Basic,14.99,1.4,3,0,8,3,No
755,12/17/2024,Standard,29.99,1.5,3,0,1,0,No
756,9/20/2023,Standard,29.99,2,1,0,15,0,No
757,1/13/2024,Standard,29.99,2.4,4,0,11,2,Yes
758,6/21/2023,Basic,14.99,2.1,1,0,18,0,No
759,9/12/2024,Standard,29.99,4.1,3,1,3,9,Yes
760,9/13/2024,Premium,49.99,2.9,10,2,3,7,Yes
761,4/28/2023,Basic,14.99,2.3,5,0,20,0,No
762,6/17/2023,Standard,29.99,3.8,5,0,18,0,No
763,11/15/2023,Standard,29.99,2.5,9,1,1,358,Yes
764,4/21/2023,Premium,49.99,5.7,4,0,20,6,No
765,8/15/2024,Standard,29.99,3.5,8,0,4,1,Yes
766,1/27/2023,Standard,29.99,3.3,3,2,23,0,No
767,11/16/2023,Basic,14.99,1,3,2,13,0,Yes
768,8/12/2024,Basic,14.99,2.6,0,0,4,0,No
769,11/24/2024,Premium,49.99,2.7,0,0,1,3,No
770,1/20/2024,Standard,29.99,3.5,4,1,11,4,No
771,2/11/2024,Standard,29.99,2.6,2,0,10,5,No
772,7/23/2023,Premium,49.99,5.3,1,0,17,6,No
773,3/19/2023,Premium,49.99,5.8,7,0,20,38,Yes
774,8/29/2024,Basic,14.99,1.7,3,0,4,2,No
775,12/8/2024,Basic,14.99,0.9,4,0,1,3,No
776,10/4/2024,Premium,49.99,7.1,5,0,2,0,No
777,9/6/2023,Basic,14.99,1.3,4,0,16,0,No
778,4/15/2023,Standard,29.99,2.2,5,0,20,0,No
779,12/14/2024,Standard,29.99,1.1,3,0,1,4,No
780,11/5/2023,Basic,14.99,1.2,5,0,14,2,No
781,12/1/2024,Basic,14.99,1.1,4,0,1,5,No
782,9/6/2024,Basic,14.99,2.9,5,1,3,1,No
783,5/4/2023,Basic,14.99,1.5,0,1,20,2,No
784,8/2/2024,Standard,29.99,2.9,3,0,5,0,No
785,2/12/2023,Basic,14.99,2.3,1,0,22,0,No
786,12/22/2023,Standard,29.99,4,1,0,12,0,No
787,6/29/2024,Standard,29.99,2.2,4,0,6,7,No
788,3/14/2024,Premium,49.99,4.3,0,0,9,0,No
789,11/8/2024,Premium,49.99,5.7,4,0,1,0,No
790,1/15/2024,Basic,14.99,3.3,6,1,1,293,Yes
791,3/12/2023,Premium,49.99,4.1,8,0,6,463,Yes
792,6/2/2024,Basic,14.99,1.8,5,2,5,39,Yes
793,10/25/2024,Basic,14.99,1.2,9,1,2,0,Yes
794,12/16/2023,Premium,49.99,5.8,2,0,12,9,No
795,1/13/2023,Standard,29.99,3.3,5,0,23,2,No
796,3/6/2024,Standard,29.99,3.2,4,0,10,2,No
797,5/16/2024,Basic,14.99,2,4,1,7,0,No
798,4/19/2023,Premium,49.99,3.7,3,1,20,1,No
799,3/19/2024,Standard,29.99,2.9,5,1,9,1,No
800,1/6/2024,Basic,14.99,1.8,3,0,12,4,No
801,10/12/2024,Basic,14.99,1.4,5,1,2,3,Yes
802,4/15/2024,Basic,14.99,2.7,4,0,8,1,No
803,12/25/2024,Basic,14.99,0.4,0,0,1,1,No
804,6/6/2023,Basic,14.99,2.8,2,0,19,0,No
805,3/21/2024,Premium,49.99,3.7,2,0,9,0,No
806,6/30/2023,Basic,14.99,1.5,0,0,18,5,No
807,6/18/2024,Standard,29.99,2.2,5,0,6,1,No
808,10/28/2024,Basic,14.99,1.1,9,1,2,5,Yes
809,10/4/2023,Basic,14.99,1.5,11,0,4,318,Yes
810,9/22/2024,Basic,14.99,2.3,4,1,3,2,No
811,7/5/2024,Standard,29.99,3.8,3,0,5,0,No
812,5/10/2024,Basic,14.99,1.9,6,1,5,71,Yes
813,4/21/2024,Basic,14.99,2.3,2,1,8,4,No
814,3/22/2024,Basic,14.99,1.9,5,0,9,1,No
815,8/29/2024,Standard,29.99,3.5,3,0,4,3,No
816,10/2/2023,Standard,29.99,1.9,11,0,14,27,Yes
817,11/27/2023,Standard,29.99,4,1,0,13,5,No
818,9/9/2023,Basic,14.99,1.4,0,0,15,4,No
819,3/30/2023,Basic,14.99,2.6,11,4,12,261,Yes
820,10/13/2023,Premium,49.99,3.9,2,0,14,7,No
821,4/6/2024,Premium,49.99,5.2,3,0,8,1,Yes
822,9/7/2023,Standard,29.99,3.4,2,1,16,0,No
823,4/20/2024,Basic,14.99,1.8,3,0,8,0,No
824,8/6/2024,Basic,14.99,1.1,2,0,4,2,No
825,9/16/2024,Standard,29.99,2.6,3,0,3,3,No
826,11/15/2024,Standard,29.99,4.3,5,0,1,0,No
827,1/24/2024,Basic,14.99,1.3,10,3,3,246,Yes
828,12/11/2023,Standard,29.99,2.9,3,0,12,2,No
829,1/30/2023,Premium,49.99,4,4,1,7,481,Yes
830,5/21/2024,Basic,14.99,1.1,1,0,7,1,No
831,11/29/2023,Standard,29.99,2.5,11,2,13,0,Yes
832,7/6/2023,Premium,49.99,3.9,3,0,18,0,No
833,5/14/2024,Standard,29.99,3.9,0,0,7,2,No
834,8/6/2023,Basic,14.99,2.9,5,0,17,3,No
835,12/30/2023,Standard,29.99,2.7,10,1,12,4,Yes
836,9/22/2023,Standard,29.99,2.8,3,1,1,418,Yes
837,12/15/2023,Standard,29.99,2.4,2,2,12,0,No
838,10/14/2023,Standard,29.99,2.4,9,2,3,340,Yes
839,9/2/2024,Premium,49.99,4.2,1,0,4,0,No
840,12/19/2024,Basic,14.99,0.5,5,0,1,4,No
841,10/10/2023,Premium,49.99,5.8,2,0,14,0,No
842,7/23/2024,Basic,14.99,1.6,8,1,5,3,Yes
843,1/11/2023,Standard,29.99,2.6,5,0,24,5,No
844,6/13/2024,Basic,14.99,3.2,5,0,6,6,No
845,7/15/2023,Premium,49.99,5.9,3,1,17,2,No
846,3/29/2023,Standard,29.99,3.2,0,1,21,1,No
847,9/5/2023,Basic,14.99,1.8,2,0,16,2,No
848,2/21/2024,Basic,14.99,1.8,0,0,10,3,No
849,5/15/2024,Standard,29.99,2.3,4,0,7,0,No
850,7/22/2024,Standard,29.99,3.7,4,0,5,3,No
851,9/4/2023,Premium,49.99,4.3,2,0,16,1,No
852,12/8/2024,Basic,14.99,1.2,1,0,1,4,No
853,5/2/2024,Standard,29.99,2.4,1,0,8,2,No
854,10/23/2024,Premium,49.99,5.6,4,0,2,0,No
855,12/29/2024,Basic,14.99,0.2,0,0,1,0,No
856,5/17/2024,Basic,14.99,1.5,11,1,4,100,Yes
857,4/3/2024,Standard,29.99,3.3,2,0,9,0,No
858,1/18/2023,Basic,14.99,2.9,1,1,23,0,No
859,4/6/2023,Premium,49.99,4.7,3,0,21,0,No
860,10/29/2023,Basic,14.99,2.7,1,0,14,4,No
861,8/15/2023,Basic,14.99,1.7,3,0,16,2,No
862,2/19/2024,Standard,29.99,2.3,4,0,10,4,Yes
863,12/9/2024,Basic,14.99,1.6,2,0,1,2,No
864,9/7/2023,Basic,14.99,2.4,11,0,1,428,Yes
865,11/10/2023,Basic,14.99,1.7,8,1,13,1,Yes
866,11/10/2024,Basic,14.99,3.9,0,0,1,7,No
867,8/18/2024,Basic,14.99,1.9,0,0,4,0,No
868,1/13/2024,Premium,49.99,3,3,3,11,0,Yes
869,4/29/2024,Standard,29.99,3,2,0,8,3,No
870,7/20/2024,Standard,29.99,2.5,5,0,5,6,No
871,6/27/2024,Standard,29.99,2,2,0,6,0,No
872,12/19/2023,Basic,14.99,1.5,6,4,12,3,Yes
873,3/11/2024,Basic,14.99,1.1,6,1,2,226,Yes
874,7/17/2024,Standard,29.99,1.9,9,0,5,1,Yes
875,12/5/2023,Standard,29.99,2.9,5,0,13,5,No
876,12/27/2023,Premium,49.99,4.6,5,0,12,0,No
877,12/20/2024,Premium,49.99,1.4,3,0,1,0,No
878,4/9/2024,Basic,14.99,1.2,3,0,8,0,No
879,10/5/2023,Basic,14.99,1.6,1,0,15,6,No
880,11/10/2023,Basic,14.99,1,6,2,10,119,Yes
881,9/15/2023,Premium,49.99,2.8,5,1,3,380,Yes
882,8/25/2023,Standard,29.99,3.3,2,0,16,0,No
883,5/4/2023,Basic,14.99,2.7,10,0,4,461,Yes
884,7/17/2023,Basic,14.99,1.1,1,1,17,2,No
885,11/20/2023,Premium,49.99,4.6,4,2,12,24,Yes
886,5/3/2023,Basic,14.99,2.8,5,0,20,3,No
887,7/2/2024,Standard,29.99,3,4,0,6,1,No
888,12/7/2024,Basic,14.99,1.2,1,0,1,3,No
889,7/9/2023,Standard,29.99,2,5,1,18,1,No
